#List of 666 genes for which we were able to compute clonal frequency
#
#All driver genes stated as major or those with an FDR < 0.1 
#
##geneHGNCsymbol
##Mean VAF = average variant allele frequency of somatic mutations detected in the driver gene across samples of each tumor type.
##Zvalue = Zscore of the gene's average variant allele frequency in the context of all somatic mutations detected in the tumor type.
##Nmutations = Number of mutations observed in the driver across the cohort
##Pvalue = P-value resulting from the statistical test of major drivers
##FDR = Corrected P-value
##TumorType = tumor type
##MeanCCF = Mean CCF of all mutations detected in drivers of the tumor type
###
geneHGNCsymbol	MeanVAF	Nmutations	Zvalue	Pvalue	FDR	TumorType	MeanCCF
AHNAK	0.1482913322	35	-7.68284	1	1.0000000000	BLCA	0.2965826644
BCLAF1	0.1884452168	50	-9.36169	1	1.0000000000	CM	0.3768904336
CLCC1	0.0532695167	8	-7.14381	1	1.0000000000	CM	0.1065390334
FRG1B	0.112091709	14	-7.73075	1	1.0000000000	CM	0.2241834179
LRP6	0.1912445567	28	-7.18362	1	1.0000000000	CM	0.3824891134
NRAS	0.2953310907	30	-7.94374	1	1.0000000000	LAML	0.5906621814
RPSAP58	0.120920826	33	-8.07334	1	1.0000000000	HNSC	0.2418416521
FBXW7	0.4385156449	12	3.55485	0.0001890974	0.0027986414	HNSC	0.8770312899
SETD2	0.4763481552	7	3.53918	0.000200686	0.0021573749	LUSC	0.9526963103
IDH2	0.4979546157	6	3.50329	0.0002297744	0.0009573934	LGG	0.9959092314
HSPA8	0.446218533	12	3.50061	0.0002320973	0.0024138120	BLCA	0.8924370659
HSPA8	0.4268500888	8	3.46694	0.0002632097	0.0014915216	PRAD	0.8537001777
PTEN	0.4949257167	6	3.40813	0.0003270486	0.0011680308	LGG	0.9898514334
HDAC3	0.4845360825	7	3.38965	0.0003499096	0.0125369156	CM	0.9690721649
RB1	0.4748540751	8	3.3719	0.0003732577	0.0032349004	BLCA	0.9497081502
ACVR1B	0.482176579	7	3.3422	0.0004155857	0.0027428659	BRCA	0.964353158
RHOA	0.5	6	3.33748	0.000422709	0.0125369156	CM	1
PER1	0.5	6	3.26845	0.0005406914	0.0125369156	CM	1
TP53	0.4499406263	13	3.2641	0.000549062	0.0125369156	CM	0.8998812527
STK11	0.5	4	3.20352	0.0006787931	0.0084849131	LUAD	1
ACTG1	0.4587344653	8	3.14916	0.0008187026	0.0060817907	BLCA	0.9174689305
PBRM1	0.4646959221	7	3.14686	0.0008251698	0.0093434616	HNSC	0.9293918442
HSPA8	0.4506720621	8	3.12672	0.000883841	0.0093434616	HNSC	0.9013441242
TSC1	0.4978197443	5	3105	0.0009513951	0.0061840683	BLCA	0.9956394886
GPS2	0.4881	8	3.07178	0.0010639325	0.0175548855	UCEC	0.9762
NF1	0.4025529676	36	3.05157	0.0011382398	0.0222769790	CM	0.8051059352
ATRX	0.4626597059	11	3.03801	0.0011907303	0.0087320219	GBM	0.9253194117
BRCA2	0.4348020019	13	3.01486	0.0012854895	0.0074025311	BRCA	0.8696040038
MED23	0.4582708218	8	3.0009	0.0013459147	0.0074025311	BRCA	0.9165416436
NF1	0.487350783	7	2.96108	0.0015328115	0.0099632747	OV	0.974701566
ARID1A	0.4092848765	16	2.94551	0.0016121136	0.0093144343	BLCA	0.8185697529
KDM6A	0.4371864242	9	2.8847	0.0019589341	0.0101864571	BLCA	0.8743728483
FAT1	0.4111865603	13	2.84503	0.002220362	0.0104962568	BLCA	0.8223731206
GPS2	0.5	4	2.83331	0.0023034343	0.0116943587	BRCA	1
MGA	0.4243624358	7	2.81336	0.0024513365	0.0245133648	LUAD	0.8487248715
EIF4A2	0.4087214882	23	2.80045	0.0025515706	0.0119185102	BRCA	0.8174429764
NOTCH1	0.4484286001	7	2.79618	0.0025855296	0.0222355543	LUSC	0.8968572001
MED12	0.4367910588	10	2.7811	0.0027087523	0.0119185102	BRCA	0.8735821176
EIF1AX	0.5	4	2.76167	0.0028753285	0.0492400005	CM	1
MGA	0.46852	5	2.68963	0.003576564	0.0154984440	BLCA	0.93704
EP300	0.4526635467	7	2.68156	0.0036639886	0.0151139530	BRCA	0.9053270933
MLL2	0.3720022471	27	2.67322	0.0037563482	0.0324021580	HNSC	0.7440044942
SMC1A	0.4702294952	8	2.66148	0.0038898981	0.0513466553	UCEC	0.9404589904
NSD1	0.363434082	33	2.6571	0.003940803	0.0324021580	HNSC	0.726868164
RB1	0.4394855706	9	2.6517	0.0040043833	0.0155464292	BRCA	0.8789711412
KRAS	0.4889984437	4	2.64066	0.0041372356	0.0296501883	LUSC	0.9779968873
EP300	0.43514116	10	2.62906	0.0042810626	0.0638128596	CM	0.87028232
ARID1A	0.3951988381	21	2.61602	0.0044480673	0.1057169003	STAD	0.7903976762
SETD2	0.3928141662	10	2.60336	0.0046157481	0.0365785777	LUAD	0.7856283324
IDH1	0.4186025287	13	2.59795	0.0046891074	0.0257900909	GBM	0.8372050574
DDX3X	0.4199628098	15	2.56949	0.0050924166	0.0638128596	CM	0.8399256196
PTGS1	0.4649787181	4	2.56755	0.0051210009	0.0365785777	LUAD	0.9299574362
CCAR1	0.4729424896	5	2.56737	0.0051236603	0.0638128596	CM	0.9458849791
PTEN	0.4177809332	14	2.53213	0.0056685975	0.0207848575	BRCA	0.8355618663
RB1	0.4450498971	6	2.51791	0.0059026741	0.0362592838	LUSC	0.8900997943
BCOR	0.480731402	4	2.51276	0.0059895399	0.1057169003	STAD	0.961462804
NR2F2	0.5	4	2.50613	0.0061030366	0.0607234388	UCEC	1
ARID1A	0.4173918731	47	2.48705	0.0064403647	0.0607234388	UCEC	0.8347837462
SVEP1	0.3927767163	34	2.48571	0.0064646639	0.0738049132	CM	0.7855534325
TCF12	0.4450740918	5	2.47939	0.0065803659	0.0205636433	LGG	0.8901481835
CDK12	0.5	4	2.45328	0.0070780051	0.0306713553	OV	1
APC	0.3809599539	30	2.44877	0.0071672475	0.1057169003	STAD	0.7619199078
NF1	0.3838943569	31	2.4031	0.0081283706	0.0357648307	GBM	0.7677887137
MFNG	0.4773373247	4	2.39483	0.0083140364	0.0876171529	CM	0.9546746494
DNMT3A	0.4540743641	37	2.33551	0.0097583971	0.1561343529	LAML	0.9081487282
SF3B1	0.3999014766	20	2.32244	0.0101046278	0.0351002861	BRCA	0.7998029533
WHSC1	0.3941415817	12	2.29221	0.0109467641	0.0810060543	HNSC	0.7882831634
MAX	0.4171298951	6	2.27557	0.0114358793	0.0317663314	LGG	0.8342597902
ACTG1	0.4913406339	4	2.26867	0.0116442006	0.0916878576	UCEC	0.9826812678
RB1	0.4028788841	17	2.25285	0.0121343042	0.0444924487	GBM	0.8057577681
BNC2	0.4533846154	5	2.24949	0.0122406692	0.1152953255	CM	0.9067692308
PIK3CA	0.451814059	4	2.24533	0.0123734778	0.0665074429	LUSC	0.9036281179
HRAS	0.4501917321	6	2.2376	0.0126235758	0.1152953255	CM	0.9003834642
CTNNB1	0.4106285581	59	2.22106	0.0131734489	0.0916878576	UCEC	0.8212571162
CTCF	0.3976224433	10	2.21912	0.0132392809	0.0843282714	HNSC	0.7952448867
FAT1	0.35139561	44	2.20649	0.0136748548	0.0843282714	HNSC	0.7027912199
CHD4	0.421419126	32	2.20032	0.0138920996	0.0916878576	UCEC	0.8428382521
APC	0.3649576165	147	2.19966	0.0139155134	0.0624031915	COREAD	0.7299152331
BRAF	0.3903081543	8	2.19822	0.0139667161	0.0872919753	LUAD	0.7806163086
PTGS1	0.4175701168	11	2.19432	0.0141062063	0.1207843916	CM	0.8351402335
CDH1	0.4195708198	7	2.14631	0.0159241272	0.0636965086	BLCA	0.8391416396
PBRM1	0.4531598797	29	2.12291	0.0168806972	0.0824996663	HC	0.9063197593
FAM123B	0.4622860405	4	2.11962	0.0170190522	0.0624031915	COREAD	0.924572081
GNG2	0.3968149394	6	2.09101	0.0182635838	0.1014643544	LUAD	0.7936298788
RHOA	0.4078363067	9	2.09057	0.0182833137	0.2157431014	STAD	0.8156726133
CDKN1B	0.4153	6	2.07229	0.0191192022	0.0710141797	BLCA	0.8306
NTN4	0.4495510662	4	2.05203	0.0200833735	0.0959538955	LUSC	0.8991021324
VHL	0.462075843	18	2.04101	0.0206249166	0.0824996663	HC	0.924151686
TJP1	0.3808500488	4	2.03275	0.0210388935	0.0894152973	PRAD	0.7617000975
NF1	0.3893005087	7	2.02375	0.0214979406	0.1074897029	LUAD	0.7786010175
RPL5	0.4457056792	10	2.01346	0.0220331295	0.1321987769	UCEC	0.8914113585
HSP90AB1	0.4481273029	6	2.01233	0.022092581	0.0694338261	GBM	0.8962546057
COPS2	0.4471830986	4	1.99046	0.023270143	0.2288230733	STAD	0.8943661972
BRAF	0.396248793	18	1.97744	0.0239959582	0.1933791923	CM	0.792497586
RASA1	0.4089592332	6	1.95261	0.0254329127	0.1093615244	LUSC	0.8179184665
ARFGAP1	0.4347001853	4	1.94381	0.0259591837	0.1477676611	HNSC	0.8694003707
ZNF814	0.4740026834	4	1.9316	0.0267044479	0.1428912132	UCEC	0.9480053667
ARID1B	0.4031853582	14	1.91867	0.0275130552	0.2094049205	CM	0.8063707165
ATR	0.4522128473	7	1.90878	0.028145239	0.1428912132	UCEC	0.9044256945
ARID1A	0.3696486648	14	1.89966	0.0287388764	0.1123428805	LUSC	0.7392973296
ATM	0.4015237628	7	1.89765	0.0288711016	0.1526043942	HNSC	0.8030475257
THRAP3	0.422280054	6	1.8851	0.029708169	0.2503974247	STAD	0.8445601081
ACTG1	0.4025509545	12	1.87566	0.0303509909	0.2188466186	CM	0.8051019089
ARID1A	0.4056720719	11	1.86435	0.0311362848	0.1021447117	BRCA	0.8113441438
